2023-02-24 10:55:09.5672||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:09.5995||INFO|TN.TNM.BusinessLogic.Factories.Notification.NotificationFactory|Get Notification |url: http://localhost/api/notification/getNotification|action: GetNotification
2023-02-24 10:55:13.8954||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:13.8954||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:14.5914||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:14.5914||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:18.9127||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:18.9127||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:19.5954||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:19.5965||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:23.9144||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:23.9144||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:24.6115||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:24.6126||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:28.9408||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:28.9408||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:29.6254||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:29.6254||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:33.9435||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:33.9629||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:34.6379||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:34.6379||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:35.5344||INFO|TN.TNM.BusinessLogic.Factories.Notification.NotificationFactory|Get Notification |url: http://localhost/api/notification/getNotification|action: GetNotification
2023-02-24 10:55:37.5240||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:24088:95cab1d2 heartbeat successfully sent |url: |action: 
2023-02-24 10:55:37.5240||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:24088:95cab1d2 waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-02-24 10:55:38.2174||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:24088:df4a307e heartbeat successfully sent |url: |action: 
2023-02-24 10:55:38.2174||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:24088:df4a307e waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-02-24 10:55:39.0012||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:39.0012||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:39.6534||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:39.6534||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:44.0123||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:44.0123||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:44.6635||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:44.6635||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:49.0201||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:49.0201||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:49.6657||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:49.6657||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:54.0342||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:54.0342||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:54.6804||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:54.6804||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:59.0488||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:59.0504||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:59.6820||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:59.6820||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:56:04.0545||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:56:04.0545||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:56:04.6857||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:56:04.6857||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:56:07.5372||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:24088:95cab1d2 heartbeat successfully sent |url: |action: 
2023-02-24 10:56:07.5372||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:24088:95cab1d2 waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-02-24 10:56:08.2288||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:24088:df4a307e heartbeat successfully sent |url: |action: 
2023-02-24 10:56:08.2288||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:24088:df4a307e waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-02-24 10:56:08.5603||TRACE|Hangfire.Server.RecurringJobScheduler|Recurring job 'Cảnh báo hạn báo cáo' is being updated. RecurringJob: (Queue:default;Cron:*/2 * * * *;TimeZoneId:SE Asia Standard Time;Job:{"Type":"TN.TNM.Api.RecurringJobs.RecurringJobsService, TN.TNM.Api, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null","Method":"AlertReportPoint","ParameterTypes":"[]","Arguments":"[]"};CreatedAt:2023-01-06T03:27:30.0981312Z;V:2;LastJobId:15777;LastExecution:2023-02-24T03:54:08.4304693Z;NextExecution:2023-02-24T03:56:00.0000000Z), Changes: (LastExecution:2023-02-24T03:56:08.5554531Z;NextExecution:2023-02-24T03:58:00.0000000Z;LastJobId:15780), NextExecution: (2/24/2023 3:58:00 AM) |url: |action: 
2023-02-24 10:56:08.5735||TRACE|Hangfire.Server.RecurringJobScheduler|Recurring job 'Deadline' is being updated. RecurringJob: (Job:{"Type":"TN.TNM.Api.RecurringJobs.RecurringJobsService, TN.TNM.Api, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null","Method":"AlertReportPoint","ParameterTypes":"[]","Arguments":"[]"};CreatedAt:2023-02-24T03:42:37.1243084Z;V:2;LastExecution:2023-02-24T03:55:08.4966720Z;NextExecution:2023-02-24T03:56:00.0000000Z;LastJobId:15779;Queue:default;Cron:* * * * *;TimeZoneId:SE Asia Standard Time), Changes: (LastExecution:2023-02-24T03:56:08.5688225Z;NextExecution:2023-02-24T03:57:00.0000000Z;LastJobId:15781), NextExecution: (2/24/2023 3:57:00 AM) |url: |action: 
